Data,Czas,Fixing 1 - Kurs (PLN/MWh},Fixing 1- Wolumen [MWh],Fixing 2 - Kurs (PLN/MWh},Fixing 2- Wolumen [MWh],NC - Kurs (PLN/MWh},NC- Wolumen [MWh]
15-11-2023,0-1,"302,80","3822,2","357,98","2635,4","312,00",110
15-11-2023,1-2,"288,00","4290,6","337,31","2026,5","293,50",40
15-11-2023,2-3,"276,72","4218,7","321,80","2018,8","286,00",100
15-11-2023,3-4,"270,00","4176,3","312,02","1871,4","280,00",70
15-11-2023,4-5,"291,70","3504,5","328,64","1899,1","301,00",10
15-11-2023,5-6,"344,00","3858,8","332,01","1384,7","354,00",10
15-11-2023,6-7,"431,12","4932,9","435,63","975,6",-,0
15-11-2023,7-8,"505,00","4266,2","539,35","1220,4","500,00",10
15-11-2023,8-9,"542,00","4287,4","567,58","1327,6",-,0
15-11-2023,9-10,"515,00","4188,9","535,35","756,6","552,50",20
15-11-2023,10-11,"470,00","4232,1","494,45","838,3",-,0
15-11-2023,11-12,"450,00","4018,1","438,23","936,4",-,0
15-11-2023,12-13,"447,00","4247,2","426,46","498,2",-,0
15-11-2023,13-14,"450,00","4303,9","441,73","486,9",-,0
15-11-2023,14-15,"470,00","4175,4","462,53","602,2",-,0
15-11-2023,15-16,"509,00","4384,6","535,03","730,8","507,00",60
15-11-2023,16-17,"552,00","4829,4","542,75","963,8","552,00",135
15-11-2023,17-18,"583,00","4787,6","564,30",788,"584,00",40
15-11-2023,18-19,"581,60",4543,"573,38","718,3","583,30",40
15-11-2023,19-20,"574,10","4675,8","534,43","1006,1",-,0
15-11-2023,20-21,"537,30","4393,3","485,09","1274,3",-,0
15-11-2023,21-22,"470,00","3680,9","430,37","1339,7",-,0
15-11-2023,22-23,"446,70","4368,6","404,57","1488,4","444,00",75
15-11-2023,23-24,"390,00","4105,9","371,70","1295,9",-,0
