Data,Czas,Fixing 1 - Kurs (PLN/MWh},Fixing 1- Wolumen [MWh],Fixing 2 - Kurs (PLN/MWh},Fixing 2- Wolumen [MWh],NC - Kurs (PLN/MWh},NC- Wolumen [MWh]
13-11-2023,0-1,"370,00","2522,6","403,00","2881,1","385,00","16,9"
13-11-2023,1-2,"355,00","2526,4","383,39","1499,6","374,55","66,8"
13-11-2023,2-3,"351,60","2486,2","384,20",1495,"370,00",120
13-11-2023,3-4,"354,60","2525,8","383,93",1449,"370,00",120
13-11-2023,4-5,"363,27","2586,2","388,80","1815,2","375,50",60
13-11-2023,5-6,"392,58","3368,8","405,51","1653,7","404,00","6,6"
13-11-2023,6-7,"482,98","4818,3","498,93","832,6","492,00",10
13-11-2023,7-8,"555,00","3927,5","571,47",770,-,0
13-11-2023,8-9,"572,00","4055,8","587,21","700,2",-,0
13-11-2023,9-10,"552,22","4005,2","580,88","893,3","552,22",26
13-11-2023,10-11,"500,00","4303,7","534,95","1136,7","500,00",26
13-11-2023,11-12,"497,60","4105,5","537,04","890,4","497,60",26
13-11-2023,12-13,"492,00","4036,7","527,80","595,5",-,0
13-11-2023,13-14,"530,00","4257,9","515,67","533,1",-,0
13-11-2023,14-15,"570,19","4563,5","603,32","819,5","600,19",10
13-11-2023,15-16,"585,00","4901,2","611,22","973,2","615,00",10
13-11-2023,16-17,"635,90","4887,9","677,29","487,7","675,00",15
13-11-2023,17-18,"588,48","4460,8","652,18","612,3",-,0
13-11-2023,18-19,"563,90","3993,3","632,57","726,8",-,0
13-11-2023,19-20,"511,51","3723,7","599,67",593,-,0
13-11-2023,20-21,"450,00","3532,5","535,02",774,-,0
13-11-2023,21-22,"350,00","2844,1","385,78","635,6","350,00","24,3"
13-11-2023,22-23,"385,15",3031,"346,79","542,3",-,0
13-11-2023,23-24,"310,01","3095,7","329,30","745,6","310,00",7
