Data,Czas,Fixing 1 - Kurs (PLN/MWh},Fixing 1- Wolumen [MWh],Fixing 2 - Kurs (PLN/MWh},Fixing 2- Wolumen [MWh],NC - Kurs (PLN/MWh},NC- Wolumen [MWh]
21-11-2023,0-1,"427,00","3285,2","449,45","897,6","437,00",10
21-11-2023,1-2,"410,00",3219,"429,51","734,7","420,00",10
21-11-2023,2-3,"410,00",3129,"421,20","720,5","420,00",10
21-11-2023,3-4,"403,80","3301,9","429,75","644,8","413,00",10
21-11-2023,4-5,"404,90","3282,9","418,93","805,7","414,00",10
21-11-2023,5-6,"430,00",3602,"439,18","545,9","440,00",10
21-11-2023,6-7,"560,00","4832,2","575,29",623,"563,33",30
21-11-2023,7-8,"655,00","4082,1","595,21","689,6","658,46",65
21-11-2023,8-9,"692,57","4484,4","623,70",1098,"691,59",90
21-11-2023,9-10,"675,00","4516,7","600,05","1624,9","675,00",75
21-11-2023,10-11,"645,00","4671,2","590,49","1371,6","645,00",50
21-11-2023,11-12,"624,01","5001,1","590,04","1096,9",-,0
21-11-2023,12-13,"598,00",5146,"611,42","789,1",-,0
21-11-2023,13-14,"604,00","5163,5","611,42","864,7","607,78",45
21-11-2023,14-15,"610,00","5044,8","614,33","611,9","610,00",45
21-11-2023,15-16,"625,00","4972,1","652,16","583,1","623,89",45
21-11-2023,16-17,"647,00","4999,1","653,43","362,8",-,0
21-11-2023,17-18,"670,00","4820,8","641,45","261,9","680,00",10
21-11-2023,18-19,"647,00","4279,5","621,46","381,8",-,0
21-11-2023,19-20,"626,20","4071,8","578,89","792,1","626,20",45
21-11-2023,20-21,"590,00","3883,5","545,84","685,2","570,00",30
21-11-2023,21-22,"520,00","3470,1","483,42",804,"510,00",40
21-11-2023,22-23,"495,00","4166,1","485,12","566,3","480,00",30
21-11-2023,23-24,"448,00","3850,9","428,84",617,"440,00",24
