Data,Czas,Fixing 1 - Kurs (PLN/MWh},Fixing 1- Wolumen [MWh],Fixing 2 - Kurs (PLN/MWh},Fixing 2- Wolumen [MWh],NC - Kurs (PLN/MWh},NC- Wolumen [MWh]
22-11-2023,0-1,"450,00","3171,8","427,97","419,1",-,0
22-11-2023,1-2,"440,00",3312,"414,91","499,7",-,0
22-11-2023,2-3,"450,00","3401,5","414,91","531,6",-,0
22-11-2023,3-4,"449,00","3295,7","407,85","786,4",-,0
22-11-2023,4-5,"450,00","3592,3","403,88","1014,8",-,0
22-11-2023,5-6,"480,00","3994,6","413,79",1017,-,0
22-11-2023,6-7,"606,75",5001,"523,75","1308,6","606,75",10
22-11-2023,7-8,"674,01","4616,4","666,15","1028,5","674,01",10
22-11-2023,8-9,"690,50","5109,2","701,05","941,9","680,00",25
22-11-2023,9-10,"649,00","4956,3","581,84","1354,7","640,00",25
22-11-2023,10-11,"597,55","4907,8","562,19",1090,"600,33",30
22-11-2023,11-12,"570,00",4819,"606,94","766,4","573,33",30
22-11-2023,12-13,"579,00","4852,2","600,57","1097,8","582,33",30
22-11-2023,13-14,"595,00","5084,7","561,25","1777,7","594,55",55
22-11-2023,14-15,"605,00","5072,8","608,90",1630,"605,56",45
22-11-2023,15-16,"655,00","5510,1","700,67","1700,7","665,00",10
22-11-2023,16-17,"700,00","5445,3","709,17","1538,5",-,0
22-11-2023,17-18,"650,00","4879,7","606,21","1398,2",-,0
22-11-2023,18-19,"602,00","4285,9","567,25","893,3",-,0
22-11-2023,19-20,"550,00","4098,1","530,57","834,3","560,00",10
22-11-2023,20-21,"460,00","3460,5","464,36","864,3","460,00",10
22-11-2023,21-22,"401,60","3577,9","393,98","889,6",-,0
22-11-2023,22-23,"384,35","4087,7","395,33","2140,3",-,0
22-11-2023,23-24,"300,00","3748,5","325,36",1844,"310,00",10
