Data,Czas,Fixing 1 - Kurs (PLN/MWh},Fixing 1- Wolumen [MWh],Fixing 2 - Kurs (PLN/MWh},Fixing 2- Wolumen [MWh],NC - Kurs (PLN/MWh},NC- Wolumen [MWh]
23-11-2023,0-1,"263,00","3050,8","284,16","450,7","273,00","14,3"
23-11-2023,1-2,"200,00","3292,5","201,41","511,2","200,00",5
23-11-2023,2-3,"175,00","3542,8","179,82","834,3","175,00",5
23-11-2023,3-4,"168,12",3774,"131,78","622,9","168,00",5
23-11-2023,4-5,"170,00","3928,9","162,81","685,2","170,00",5
23-11-2023,5-6,"200,00","3996,4","202,26","883,4","200,38",8
23-11-2023,6-7,"350,00","4182,9","380,02","991,6","382,35",68
23-11-2023,7-8,"380,00","4215,9","375,09","895,3","380,00",8
23-11-2023,8-9,"391,33","4141,6","380,24","1092,3","386,03",22
23-11-2023,9-10,"390,07","4214,9","383,41","1518,6","333,00",2
23-11-2023,10-11,"380,00","4462,6","383,01","1549,8","333,00",2
23-11-2023,11-12,"379,82","4571,4","385,58","1336,2",-,0
23-11-2023,12-13,"379,82","4593,2","384,86","1296,3",-,0
23-11-2023,13-14,"381,11","4712,5","381,25","1283,3",-,0
23-11-2023,14-15,"379,82","4516,9","382,42","1107,5","350,00",3
23-11-2023,15-16,"388,07","4693,4","382,14",1301,"356,25",8
23-11-2023,16-17,"392,76","4837,8","382,40","1393,6","361,25",8
23-11-2023,17-18,"390,00","4586,6","381,58","1318,1","331,25",8
23-11-2023,18-19,"379,82","4346,8","381,85","919,4","331,25",8
23-11-2023,19-20,"374,00","4032,6","383,07","1198,5","341,25",8
23-11-2023,20-21,"329,00","4058,3","379,70","950,3","301,00",8
23-11-2023,21-22,"250,00","4200,3","296,67","797,3","213,08",13
23-11-2023,22-23,"225,00","4245,1","268,70","936,5","215,87",23
23-11-2023,23-24,"197,70","4376,7","236,32","702,7","200,00",15
