Data,Czas,Fixing 1 - Kurs (PLN/MWh},Fixing 1- Wolumen [MWh],Fixing 2 - Kurs (PLN/MWh},Fixing 2- Wolumen [MWh],NC - Kurs (PLN/MWh},NC- Wolumen [MWh]
09-11-2023,0-1,"342,40","2564,4","313,66","734,8",-,0
09-11-2023,1-2,"330,64","2652,9","313,66","772,9",-,0
09-11-2023,2-3,"325,00","2391,8","311,10","943,1",-,0
09-11-2023,3-4,"330,00","2522,2","323,99","985,1",-,0
09-11-2023,4-5,"345,00","2445,7","332,72",1077,-,0
09-11-2023,5-6,"365,00","2593,8","372,91","650,6","365,83",120
09-11-2023,6-7,"451,00","3925,5","408,94","750,2",-,0
09-11-2023,7-8,"500,19","3322,5","471,97","981,4",-,0
09-11-2023,8-9,"535,00","3742,6","514,52",2003,-,0
09-11-2023,9-10,"485,00","3836,6","488,75","2331,4","490,00",280
09-11-2023,10-11,"442,00","4116,7","446,11","2533,3","442,00",30
09-11-2023,11-12,"427,00",4094,"423,46","2264,3","427,00",65
09-11-2023,12-13,"420,00","3898,2","401,90","1667,3","420,00",65
09-11-2023,13-14,"442,00","3442,8","411,51","1320,5","442,00",30
09-11-2023,14-15,"465,10","3508,8","448,48","1141,8",-,0
09-11-2023,15-16,"488,00","3773,1","519,46","714,4",-,0
09-11-2023,16-17,"496,34","4444,4","524,43","430,3",-,0
09-11-2023,17-18,"485,00","4311,2","472,57","668,2",-,0
09-11-2023,18-19,"470,00","4039,7","467,60",607,-,0
09-11-2023,19-20,"470,00","3680,5","471,83","502,5",-,0
09-11-2023,20-21,"465,00","3599,2","427,97","723,3","455,00",20
09-11-2023,21-22,"400,00","3297,9","373,15","1222,3","395,00",20
09-11-2023,22-23,"375,00","3400,2","374,60",768,"370,44",45
09-11-2023,23-24,"327,02","3062,7","331,48","1235,5","321,11",45
