Data,Czas,Fixing 1 - Kurs (PLN/MWh},Fixing 1- Wolumen [MWh],Fixing 2 - Kurs (PLN/MWh},Fixing 2- Wolumen [MWh],NC - Kurs (PLN/MWh},NC- Wolumen [MWh]
24-11-2023,0-1,"129,00","4359,4","138,84","1035,1","134,31",136
24-11-2023,1-2,"120,00",4402,"120,36","690,7","122,20",40
24-11-2023,2-3,"90,00","4242,3","80,35","517,6","94,90",60
24-11-2023,3-4,"96,00","4233,4","96,41","569,4","107,61","74,1"
24-11-2023,4-5,"114,00","4340,1","114,35","531,1","118,00",20
24-11-2023,5-6,"130,01","4306,6","166,81","808,4","131,87",91
24-11-2023,6-7,"350,00","4483,7","382,82","1488,3","360,23",13
24-11-2023,7-8,"381,33","4272,1","382,49",1194,"384,09",18
24-11-2023,8-9,"388,83","5545,8","386,25","1538,8","390,00",18
24-11-2023,9-10,"383,83","4987,9","382,39","1099,6","373,83",15
24-11-2023,10-11,"375,00","4541,8","383,01","1273,5","371,00",15
24-11-2023,11-12,"381,33","4564,9","382,70","1170,4","370,66",35
24-11-2023,12-13,"381,33","4566,5","382,94",1079,"370,60",38
24-11-2023,13-14,"386,33","4984,1","386,42","1173,3","372,58",38
24-11-2023,14-15,"400,00",5262,"454,56","630,4","440,71",28
24-11-2023,15-16,"451,00",5224,"494,46","712,7","451,00","23,5"
24-11-2023,16-17,"482,00","5663,8","529,64","768,2","482,00",25
24-11-2023,17-18,"480,00","5455,1","525,14","710,4","480,00",25
24-11-2023,18-19,"475,62","5237,5","517,43",843,"475,62",25
24-11-2023,19-20,"480,00",4869,"525,06","952,8","480,00",25
24-11-2023,20-21,"450,00","4656,9","517,42","800,5","450,00",20
24-11-2023,21-22,"388,00","4331,9","437,52","725,4","388,00",5
24-11-2023,22-23,"388,83","4728,6","389,05","1118,4","388,83",4
24-11-2023,23-24,"381,33","3373,5","382,66","1401,3",-,0
